identity,composite,marcKey,person,roles,title,attribution,provision,subjects,genres,relatedWork,recordId,personId
195.0,"Roles: Subject
Title: Here lies Richard Brinsley Sheridan
Attribution: by Kenelm Foss ...
Provision information: London: M. Secker, 1939","60010$aSheridan, Richard Brinsley,$d1751-1816.","Sheridan, Richard Brinsley, 1751-1816",Subject,Here lies Richard Brinsley Sheridan,by Kenelm Foss ...,"London: M. Secker, 1939",NaN,NaN,NaN,2179307,2179307#Agent600-20
4477.0,"Roles: Contributor
Title: The gardeners kalendar: directing what works are necessary to be done every month, in the kitchen, fruit and pleasure garden, and in the conservatory : with an account of the particular seasons for the propagation and use of all sorts of esculent plants and fruits proper for the table, and of all sorts of flowers, plants, and trees, that flower in every month
Attribution: by Philip Miller ...
Subjects: Gardening--Early works to 1800
Provision information: Dublin: Printed for R. Gunne in Caple-street, G. Risk, G. and A. Ewing, and W. Smith in Dame's-street, booksellers, 1746; The third edition","1001 $aMiller, Philip,$d1691-1771.","Miller, Philip, 1691-1771",Contributor,"The gardeners kalendar: directing what works are necessary to be done every month, in the kitchen, fruit and pleasure garden, and in the conservatory : with an account of the particular seasons for the propagation and use of all sorts of esculent plants and fruits proper for the table, and of all sorts of flowers, plants, and trees, that flower in every month",by Philip Miller ...,"Dublin: Printed for R. Gunne in Caple-street, G. Risk, G. and A. Ewing, and W. Smith in Dame's-street, booksellers, 1746 The third edition",Gardening--Early works to 1800,NaN,NaN,753757,753757#Agent100-12
